DATE_KEY,STORE,PRICE_PAID,QTY,DESCRIPTION,DEPARTMENT,CATEGORY
20170214,fee880c7daa99a5412fc7d05f7873d0035c49264,14.99,1,ENERGIZER ULT LITH 9V,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,32e49ca852da9f3d17cfbd0fdb6e9421aa089833,5.59,3,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,dbc375179101068e1f67279ec2d64ed3b441392a,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,649299cd83d19d6512c386410e7bbc5494b95741,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,5015f49d1e08714137ddb31a31cd7dd04aed3eaa,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4793a95d75bd329349cba9c00acf14afd4ca9e3a,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,fd8812619eac25997bac74f877ded63bca68998f,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,3474a31bd7059f2b1430db2035f271fd15ab914,3.25,1,REFRESH HAWAAIAN AUTO WIPES,GENERAL MERCHANDISE,AUTOMOTIVE
20170214,8510c7be0c91874e527660160585950d675ad80e,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ab4c8152deeb0ab253a48e60f4718b22c5c2e676,11.49,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,eb85659862b1c537a60c4698519e94e8daade809,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2c6b65ea584d7e215b53f2c0dc8652953e33ddc2,3.25,1,REFRESH HAWAAIAN AUTO WIPES,GENERAL MERCHANDISE,AUTOMOTIVE
20170214,ad604dbb7af2f40dedb2ebe4af684ee1b47b926f,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,234c9c865140cc074f50d70aaacfc4d3ce69588d,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,a0924e69f7d2a8c975293f2f865f5a61f325aed9,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,c1e6522aeb0dd615892b88f10d568ed7b693f8e,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,76fd91b5ce076f06251fbc83465e287d805d7017,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,f2fbe986d7373909005dd0aa6e99bcd1e4b6396a,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,f2fbe986d7373909005dd0aa6e99bcd1e4b6396a,11.69,1,ENRGZ MAX AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,c1e6522aeb0dd615892b88f10d568ed7b693f8e,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ad259641ae1483b540ac591c1d3798a4effe4561,-3.99,-1,ENGZR N E90-1.5V,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,aae1c24bb61ae8d979fc4da4f3ef2ef58193a64c,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,435e77cc14f8ab7bf09d23c07982111a8914553c,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,2fecdd08bb48901ea5a776e9cd0fa61746cb7f97,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,d5b32864841f8e512f9bb0f3c0944eecc2d3b4c1,8.49,2,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
